"host_identity_verified","neighbourhood_group","neighbourhood","lat","long","country","country_code","instant_bookable","cancellation_policy","room_type","Construction_year","price","service_fee","minimum_nights","number_of_reviews","last_review","reviews_per_month","review_rate_number","calculated_host_listings_count","availability_365"
"verified","Manhattan","West Village",40.73452,-74.00825,"United States","US",FALSE,"moderate","Entire home/apt",2005,613,123,2,28,"5/4/2018",1,2,1,0
"verified","Queens","Rego Park",40.72727,-73.86223,"United States","US",FALSE,"moderate","Private room",2013,1146,229,1,59,"5/19/2019",2.01,2,3,89
"verified","Brooklyn","Bedford-Stuyvesant",40.6932,-73.95519,"United States","US",TRUE,"flexible","Private room",2007,794,159,1,1,"2/11/2017",0.03,3,1,89
"unconfirmed","Manhattan","East Harlem",40.79149,-73.94658,"United States","US",FALSE,"strict","Private room",2005,1107,221,5,0,NA,NA,4,1,0
"verified","Manhattan","East Village",40.7265,-73.98278,"United States","US",FALSE,"flexible","Private room",2018,359,72,3,76,"6/21/2019",2.59,5,1,25
"verified","Brooklyn","Clinton Hill",40.69088,-73.96653,"United States","US",TRUE,"strict","Entire home/apt",2014,886,177,1,0,NA,NA,4,1,26
"unconfirmed","Brooklyn","Greenpoint",40.72881,-73.95817,"United States","US",FALSE,"strict","Entire home/apt",2008,847,169,2,35,"9/15/2017",1.19,2,2,0
"unconfirmed","Brooklyn","Williamsburg",40.71247,-73.96155,"United States","US",TRUE,"moderate","Entire home/apt",2015,835,167,3,15,"7/29/2018",0.55,1,1,0
"verified","Manhattan","Lower East Side",40.72085,-73.98895,"United States","US",FALSE,"flexible","Entire home/apt",2005,315,63,3,67,"6/19/2019",3.35,3,1,149
"verified","Manhattan","Upper East Side",40.77428,-73.95363,"United States","US",TRUE,"flexible","Private room",2012,966,193,4,0,NA,NA,5,1,0
"unconfirmed","Manhattan","East Village",40.72429,-73.98784,"United States","US",TRUE,"strict","Private room",2013,561,112,90,0,NA,NA,2,1,173
"unconfirmed","Bronx","Fordham",40.85615,-73.90077,"United States","US",FALSE,"strict","Private room",2004,743,149,3,7,"5/9/2019",0.79,2,1,126
"unconfirmed","Bronx","Fordham",40.87031,-73.89322,"United States","US",FALSE,"moderate","Private room",2008,752,150,3,98,"6/24/2019",3.45,2,10,68
"unconfirmed","Bronx","Fordham",40.86917,-73.89465,"United States","US",FALSE,"strict","Private room",2020,756,151,3,77,"5/30/2019",2.7,1,10,65
"unconfirmed","Manhattan","East Village",40.72425,-73.98976,"United States","US",TRUE,"moderate","Entire home/apt",2003,220,44,10,4,"9/3/2018",0.27,3,1,0
"verified","Brooklyn","Greenpoint",40.73076,-73.95575,"United States","US",FALSE,"moderate","Entire home/apt",2007,356,71,4,17,"3/20/2018",0.58,5,1,0
"verified","Manhattan","East Village",40.7284,-73.98295,"United States","US",FALSE,"flexible","Private room",2008,358,72,59,0,NA,NA,4,1,333
"verified","Brooklyn","East Flatbush",40.63956,-73.93235,"United States","US",TRUE,"flexible","Entire home/apt",2013,672,134,3,55,"6/9/2019",1.95,4,1,171
"verified","Manhattan","Harlem",40.80379,-73.94434,"United States","US",TRUE,"moderate","Private room",2021,856,171,1,25,"7/1/2019",0.97,3,2,91
"unconfirmed","Queens","Sunnyside",40.74615,-73.91558,"United States","US",TRUE,"moderate","Entire home/apt",2018,713,143,5,2,"5/13/2019",1.05,3,1,0
"verified","Manhattan","Chelsea",40.7455,-73.9916,"United States","US",FALSE,"flexible","Private room",2013,189,38,1,136,"6/21/2019",4.62,4,4,61
"unconfirmed","Brooklyn","Crown Heights",40.675,-73.95885,"United States","US",TRUE,"moderate","Entire home/apt",2008,688,138,3,42,"8/25/2017",1.46,5,1,0
"unconfirmed","Manhattan","Chinatown",40.71485,-73.99157,"United States","US",FALSE,"flexible","Private room",2022,276,55,1,2,"5/4/2017",0.07,5,1,0
"unconfirmed","Brooklyn","Greenpoint",40.73714,-73.95333,"United States","US",FALSE,"strict","Private room",2007,791,158,2,62,"6/24/2019",2.11,4,3,0
"verified","Staten Island","Arrochar",40.59372,-74.06766,"United States","US",TRUE,"strict","Entire home/apt",2011,629,126,1,25,"7/7/2019",0.91,1,3,12
"unconfirmed","Queens","Jamaica",40.68619,-73.79229,"United States","US",FALSE,"moderate","Entire home/apt",2015,361,72,5,52,"6/15/2019",1.99,4,1,44
"unconfirmed","Queens","Astoria",40.75678,-73.91644,"United States","US",FALSE,"moderate","Private room",2008,318,64,3,1,"6/27/2019",1,3,1,341
"unconfirmed","Staten Island","St. George",40.64332,-74.08283,"United States","US",TRUE,"flexible","Entire home/apt",2009,998,200,2,116,"7/5/2019",4,1,1,191
"verified","Manhattan","Midtown",40.7658,-73.98218,"United States","US",FALSE,"strict","Entire home/apt",2010,61,12,7,0,NA,NA,4,1,0
"verified","Manhattan","Upper West Side",40.78461,-73.97627,"United States","US",TRUE,"flexible","Entire home/apt",2018,485,97,1,152,"7/6/2019",5.32,3,1,228
"verified","Bronx","Pelham Gardens",40.86673,-73.845,"United States","US",TRUE,"strict","Entire home/apt",2017,621,124,3,75,"7/1/2019",2.74,5,1,146
"verified","Brooklyn","Bushwick",40.70072,-73.91594,"United States","US",FALSE,"flexible","Private room",2009,285,57,1,3,"10/9/2018",0.1,4,1,359
"unconfirmed","Manhattan","East Harlem",40.79154,-73.94233,"United States","US",TRUE,"moderate","Private room",2007,359,72,1,186,"6/28/2019",6.38,3,4,199
"verified","Manhattan","East Harlem",40.78966,-73.94232,"United States","US",TRUE,"flexible","Private room",2003,651,130,1,149,"6/22/2019",5.06,5,4,215
"verified","Brooklyn","Williamsburg",40.71096,-73.95171,"United States","US",TRUE,"flexible","Private room",2022,311,62,3,7,"5/27/2019",0.24,1,1,2
"verified","Manhattan","Theater District",40.75662,-73.98749,"United States","US",TRUE,"moderate","Private room",2009,707,141,3,0,NA,NA,1,1,0
"unconfirmed","Brooklyn","Park Slope",40.68249,-73.97787,"United States","US",FALSE,"moderate","Private room",2006,159,32,5,0,NA,NA,1,1,0
"verified","Manhattan","Upper East Side",40.77158,-73.95786,"United States","US",TRUE,"moderate","Private room",2021,505,101,5,3,"6/20/2019",0.15,5,2,50
"verified","Manhattan","Upper East Side",40.77058,-73.95358,"United States","US",FALSE,"moderate","Entire home/apt",2008,1130,226,1,68,"6/4/2019",2.33,2,1,19
"unconfirmed","Queens","East Elmhurst",40.76123,-73.88597,"United States","US",FALSE,"strict","Private room",2019,1099,220,5,69,"6/24/2019",2.45,1,1,67
"verified","Bronx","Pelham Gardens",40.86686,-73.84207,"United States","US",TRUE,"flexible","Private room",2019,450,90,1,16,"1/21/2019",0.61,1,4,3
"unconfirmed","Brooklyn","Greenpoint",40.73571,-73.95372,"United States","US",TRUE,"moderate","Private room",2005,664,133,1,111,"6/22/2019",3.77,2,3,9
"verified","Manhattan","Greenwich Village",40.732,-73.99959,"United States","US",FALSE,"flexible","Entire home/apt",2006,97,19,2,0,NA,NA,2,1,0
"unconfirmed","Brooklyn","Bedford-Stuyvesant",40.6924,-73.93485,"United States","US",FALSE,"strict","Private room",2017,1192,238,5,14,"1/5/2018",0.54,5,1,0
"unconfirmed","Brooklyn","Bushwick",40.68699,-73.9056,"United States","US",TRUE,"moderate","Private room",2009,69,14,1,63,"5/25/2019",2.32,5,3,0
"verified","Queens","Forest Hills",40.73576,-73.85434,"United States","US",FALSE,"strict","Entire home/apt",2016,414,83,2,153,"7/1/2019",5.31,3,2,106
"unconfirmed","Brooklyn","Coney Island",40.57575,-73.98465,"United States","US",TRUE,"flexible","Entire home/apt",2004,1194,239,2,63,"6/19/2019",2.23,4,6,140
"verified","Manhattan","Harlem",40.80926,-73.94979,"United States","US",TRUE,"moderate","Private room",2008,94,19,3,48,"6/19/2019",1.64,2,4,9
"verified","Queens","Astoria",40.75902,-73.9154,"United States","US",FALSE,"moderate","Private room",2011,731,146,4,39,"5/10/2019",1.5,3,2,292
"unconfirmed","Brooklyn","Bedford-Stuyvesant",40.69471,-73.93736,"United States","US",TRUE,"moderate","Private room",2017,342,68,2,5,"12/31/2018",0.27,1,1,272
"unconfirmed","Queens","Ditmars Steinway",40.77811,-73.91065,"United States","US",FALSE,"moderate","Private room",2020,602,120,1,5,"6/27/2019",4.69,5,2,31
"verified","Brooklyn","Carroll Gardens",40.68255,-73.99281,"United States","US",TRUE,"strict","Entire home/apt",2006,815,163,4,4,"11/25/2018",0.14,2,1,15
"verified","Brooklyn","Crown Heights",40.67395,-73.95682,"United States","US",TRUE,"flexible","Entire home/apt",2019,874,175,3,17,"12/31/2018",0.68,3,1,0
"unconfirmed","Queens","Rockaway Beach",40.58718,-73.81541,"United States","US",FALSE,"flexible","Entire home/apt",2010,303,61,2,42,"5/27/2019",1.63,2,1,310
"verified","Queens","Sunnyside",40.74993,-73.91346,"United States","US",FALSE,"strict","Entire home/apt",2019,528,106,2,0,NA,NA,5,1,0
"unconfirmed","Manhattan","East Village",40.72709,-73.98612,"United States","US",TRUE,"flexible","Entire home/apt",2009,337,67,30,2,"9/1/2017",0.08,5,1,0
"verified","Manhattan","Chelsea",40.74187,-74.00622,"United States","US",TRUE,"flexible","Entire home/apt",2015,125,25,1,86,"6/7/2019",3.04,1,1,261
"verified","Manhattan","Upper East Side",40.78471,-73.95054,"United States","US",FALSE,"moderate","Private room",2007,284,57,4,7,"1/1/2018",0.26,1,1,188
"verified","Queens","Astoria",40.76646,-73.92847,"United States","US",TRUE,"flexible","Entire home/apt",2010,318,64,2,14,"10/7/2018",0.48,2,1,0
"unconfirmed","Manhattan","Hell's Kitchen",40.76109,-73.99305,"United States","US",FALSE,"moderate","Private room",2018,587,117,3,126,"6/17/2019",4.42,5,1,3
"verified","Manhattan","East Village",40.72415,-73.97451,"United States","US",TRUE,"flexible","Private room",2020,1099,220,1,95,"6/21/2019",3.28,1,1,86
"verified","Manhattan","East Harlem",40.80921,-73.94002,"United States","US",FALSE,"moderate","Private room",2004,399,80,2,89,"6/29/2019",3.28,1,4,249
"verified","Manhattan","Harlem",40.81055,-73.94016,"United States","US",FALSE,"strict","Private room",2004,885,177,2,71,"6/26/2019",2.63,2,4,309
"unconfirmed","Manhattan","Upper West Side",40.77836,-73.97994,"United States","US",TRUE,"flexible","Entire home/apt",2006,75,15,3,81,"7/1/2019",3.01,4,1,152
"unconfirmed","Brooklyn","Prospect-Lefferts Gardens",40.65608,-73.96176,"United States","US",TRUE,"moderate","Entire home/apt",2019,1105,221,2,26,"6/27/2019",2.05,3,1,272
"unconfirmed","Manhattan","Chinatown",40.71449,-73.99094,"United States","US",TRUE,"strict","Private room",2012,1084,217,5,0,NA,NA,1,1,0
"verified","Manhattan","Harlem",40.80937,-73.94989,"United States","US",TRUE,"flexible","Private room",2015,185,37,2,29,"5/10/2019",1.03,2,4,0
"verified","Manhattan","East Village",40.72576,-73.97908,"United States","US",TRUE,"strict","Entire home/apt",2014,381,76,5,25,"5/27/2019",0.9,3,1,0
"verified","Manhattan","East Village",40.7252,-73.98339,"United States","US",FALSE,"moderate","Private room",2019,1183,237,1,21,"6/3/2019",0.75,3,1,363
"verified","Brooklyn","Greenpoint",40.72282,-73.94856,"United States","US",FALSE,"moderate","Entire home/apt",2007,513,103,3,48,"6/23/2019",1.69,5,1,3
"verified","Manhattan","Harlem",40.82376,-73.94198,"United States","US",TRUE,"flexible","Private room",2010,928,186,1,0,NA,NA,4,1,0
"unconfirmed","Manhattan","East Harlem",40.80999,-73.93946,"United States","US",FALSE,"moderate","Entire home/apt",2003,72,14,3,86,"7/2/2019",2.99,1,2,85
"unconfirmed","Manhattan","West Village",40.74049,-74.00527,"United States","US",FALSE,"strict","Entire home/apt",2014,1018,204,1,106,"6/21/2019",3.75,5,1,286
"verified","Manhattan","East Harlem",40.80827,-73.93813,"United States","US",TRUE,"moderate","Entire home/apt",2021,1131,226,3,103,"7/1/2019",3.61,5,2,32
"unconfirmed","Manhattan","East Harlem",40.79315,-73.93984,"United States","US",FALSE,"moderate","Private room",2005,194,39,2,60,"6/23/2019",2.52,5,2,233
"unconfirmed","Brooklyn","Williamsburg",40.71722,-73.95477,"United States","US",FALSE,"flexible","Entire home/apt",2014,200,40,3,66,"7/3/2019",2.36,2,1,257
"verified","Brooklyn","Sunset Park",40.64672,-74.00087,"United States","US",FALSE,"moderate","Private room",2016,908,182,20,23,"6/23/2019",0.84,3,3,41
"verified","Manhattan","Hell's Kitchen",40.75659,-73.99313,"United States","US",TRUE,"moderate","Entire home/apt",2017,1035,207,3,13,"10/20/2018",0.46,5,1,260
"verified","Manhattan","Harlem",40.81843,-73.94401,"United States","US",FALSE,"flexible","Entire home/apt",2009,687,137,1,78,"6/22/2019",2.7,1,1,40
"unconfirmed","Manhattan","Morningside Heights",40.80437,-73.96387,"United States","US",TRUE,"moderate","Shared room",2008,275,55,1,0,NA,NA,3,1,0
"verified","Brooklyn","Williamsburg",40.71506,-73.94158,"United States","US",FALSE,"moderate","Private room",2020,616,123,2,3,"9/2/2018",0.22,3,2,40
"verified","Manhattan","Midtown",40.74433,-73.98318,"United States","US",FALSE,"moderate","Entire home/apt",2007,772,154,2,0,NA,NA,3,1,0
"verified","Brooklyn","Kensington",40.64309,-73.97707,"United States","US",FALSE,"moderate","Entire home/apt",2017,386,77,6,12,"7/17/2018",0.41,3,1,0
"verified","Manhattan","Upper West Side",40.78587,-73.97468,"United States","US",TRUE,"flexible","Private room",2017,114,23,5,11,"7/23/2017",0.39,4,1,0
"unconfirmed","Manhattan","SoHo",40.72576,-74.00266,"United States","US",FALSE,"strict","Private room",2020,610,122,1,131,"6/24/2019",4.56,3,1,20
"verified","Manhattan","Greenwich Village",40.72766,-73.99976,"United States","US",TRUE,"flexible","Private room",2010,1123,225,1,0,NA,NA,5,2,0
"verified","Manhattan","Harlem",40.82935,-73.94255,"United States","US",FALSE,"strict","Private room",2011,815,163,2,72,"6/30/2019",2.54,4,3,63
"verified","Queens","Springfield Gardens",40.66663,-73.76417,"United States","US",FALSE,"flexible","Private room",2020,644,129,1,37,"10/3/2018",1.53,2,4,84
"verified","Manhattan","Upper West Side",40.80212,-73.9692,"United States","US",FALSE,"strict","Entire home/apt",2015,269,54,1,2,"3/4/2017",0.07,1,1,0
"unconfirmed","Brooklyn","Bushwick",40.69864,-73.92827,"United States","US",TRUE,"strict","Entire home/apt",2003,81,16,90,2,"7/24/2017",0.08,1,1,34
"unconfirmed","Brooklyn","South Slope",40.66632,-73.9862,"United States","US",FALSE,"flexible","Private room",2006,277,55,1,2,"10/22/2017",0.09,4,1,87
"verified","Brooklyn","Williamsburg",40.71779,-73.96337,"United States","US",FALSE,"moderate","Private room",2017,94,19,2,0,NA,NA,2,1,0
"unconfirmed","Manhattan","Morningside Heights",40.80338,-73.9636,"United States","US",TRUE,"flexible","Entire home/apt",2014,711,142,1,19,"2/15/2018",0.66,3,1,0
"verified","Queens","Ridgewood",40.70575,-73.90171,"United States","US",FALSE,"flexible","Entire home/apt",2012,667,133,1,109,"6/30/2019",3.97,5,1,75
"verified","Brooklyn","Williamsburg",40.71648,-73.94066,"United States","US",FALSE,"moderate","Private room",2022,1007,201,87,4,"9/19/2017",0.14,4,1,173
"unconfirmed","Manhattan","Midtown",40.75151,-73.97114,"United States","US",FALSE,"strict","Private room",2013,299,60,30,1,"6/5/2017",0.04,3,1,0
"unconfirmed","Bronx","Pelham Bay",40.84752,-73.82797,"United States","US",FALSE,"moderate","Entire home/apt",2007,1082,216,2,94,"6/20/2019",3.2,2,1,252
"unconfirmed","Manhattan","East Village",40.73109,-73.98234,"United States","US",FALSE,"moderate","Private room",2021,585,117,1,209,"6/17/2019",7.18,5,3,252
"unconfirmed","Manhattan","Midtown",40.75029,-73.98402,"United States","US",FALSE,"strict","Entire home/apt",2019,402,80,5,4,"10/31/2017",0.15,1,1,0
"verified","Manhattan","Kips Bay",40.73829,-73.97896,"United States","US",FALSE,"moderate","Entire home/apt",2022,656,131,1,79,"6/21/2019",2.7,2,1,310
"unconfirmed","Manhattan","West Village",40.73394,-74.00302,"United States","US",TRUE,"flexible","Entire home/apt",2003,1152,230,1,6,"1/29/2019",0.21,3,1,0
"verified","Manhattan","SoHo",40.7204,-74.00047,"United States","US",TRUE,"flexible","Private room",2007,468,94,1,63,"6/25/2018",2.23,5,1,0
"unconfirmed","Manhattan","Chelsea",40.74353,-73.99709,"United States","US",FALSE,"strict","Entire home/apt",2018,1084,217,5,42,"6/26/2019",1.57,5,1,322
"verified","Brooklyn","Greenpoint",40.72399,-73.95166,"United States","US",FALSE,"moderate","Entire home/apt",2003,1034,207,4,61,"6/23/2019",2.26,1,1,255
"unconfirmed","Queens","Rosedale",40.65439,-73.73185,"United States","US",TRUE,"flexible","Entire home/apt",2011,473,95,2,45,"6/9/2019",1.7,2,1,360
"verified","Manhattan","East Harlem",40.80224,-73.93732,"United States","US",FALSE,"flexible","Private room",2015,834,167,1,1,"4/28/2018",0.07,2,1,0
"unconfirmed","Brooklyn","Crown Heights",40.67685,-73.94033,"United States","US",FALSE,"moderate","Entire home/apt",2012,496,99,6,0,NA,NA,3,1,0
"verified","Brooklyn","Crown Heights",40.67627,-73.95024,"United States","US",TRUE,"strict","Private room",2010,603,121,2,6,"7/31/2017",0.21,2,1,0
"verified","Manhattan","East Village",40.72584,-73.9894,"United States","US",FALSE,"strict","Private room",2013,474,95,1,38,"6/21/2019",1.3,3,2,138
"verified","Brooklyn","Brooklyn Heights",40.69754,-73.99298,"United States","US",FALSE,"strict","Entire home/apt",2019,481,96,4,48,"7/1/2019",1.73,4,1,172
"unconfirmed","Manhattan","Hell's Kitchen",40.76536,-73.98864,"United States","US",FALSE,"moderate","Entire home/apt",2008,514,103,45,6,"5/22/2019",0.63,3,12,365
"verified","Brooklyn","Vinegar Hill",40.69891,-73.98423,"United States","US",TRUE,"strict","Entire home/apt",2016,449,90,4,1,"10/22/2017",0.05,4,1,0
"verified","Manhattan","Theater District",40.76106,-73.98627,"United States","US",TRUE,"strict","Entire home/apt",2004,706,141,3,3,"5/21/2017",0.11,3,1,0
"unconfirmed","Queens","Rego Park",40.7265,-73.86017,"United States","US",FALSE,"strict","Private room",2013,1078,216,1,120,"6/11/2019",4.1,4,2,112
"verified","Manhattan","Chelsea",40.74443,-74.00012,"United States","US",FALSE,"moderate","Entire home/apt",2011,312,62,3,35,"7/3/2019",1.61,5,2,179
"unconfirmed","Manhattan","Washington Heights",40.85188,-73.93588,"United States","US",TRUE,"moderate","Private room",2010,428,86,1,26,"5/19/2019",1.08,5,1,0
"unconfirmed","Brooklyn","Gowanus",40.68361,-73.98671,"United States","US",FALSE,"strict","Entire home/apt",2015,1088,218,30,10,"5/11/2019",0.53,4,4,323
"unconfirmed","Brooklyn","Bushwick",40.69838,-73.93527,"United States","US",FALSE,"flexible","Private room",2019,403,81,21,0,NA,NA,2,1,0
"unconfirmed","Brooklyn","Crown Heights",40.67055,-73.94616,"United States","US",TRUE,"moderate","Private room",2022,969,194,2,0,NA,NA,1,2,0
"verified","Brooklyn","Bedford-Stuyvesant",40.68653,-73.9449,"United States","US",TRUE,"moderate","Private room",2005,529,106,4,74,"6/15/2019",2.52,3,1,85
"verified","Brooklyn","Flatbush",40.65221,-73.95848,"United States","US",FALSE,"strict","Private room",2009,280,56,2,0,NA,NA,3,1,0
"verified","Manhattan","East Village",40.72537,-73.97878,"United States","US",FALSE,"flexible","Private room",2017,972,194,2,147,"6/20/2019",5.07,3,3,18
"unconfirmed","Manhattan","East Harlem",40.80268,-73.94051,"United States","US",TRUE,"flexible","Entire home/apt",2012,552,110,10,28,"5/31/2019",0.97,1,1,0
"verified","Manhattan","West Village",40.73376,-73.99982,"United States","US",TRUE,"moderate","Entire home/apt",2021,202,40,3,0,NA,NA,1,1,0
"unconfirmed","Brooklyn","Prospect Heights",40.67365,-73.96384,"United States","US",TRUE,"moderate","Private room",2007,735,147,3,4,"6/14/2019",0.15,4,1,88
"verified","Brooklyn","Greenpoint",40.73301,-73.95835,"United States","US",FALSE,"flexible","Entire home/apt",2005,556,111,2,176,"6/30/2019",6.02,1,1,14
"verified","Manhattan","Midtown",40.7544,-73.96721,"United States","US",FALSE,"strict","Entire home/apt",2010,467,93,2,43,"4/10/2019",1.48,1,1,0
"verified","Queens","East Elmhurst",40.75625,-73.88957,"United States","US",FALSE,"moderate","Private room",2007,493,99,1,44,"4/20/2019",2.21,3,1,0
"verified","Brooklyn","Bedford-Stuyvesant",40.67704,-73.91484,"United States","US",TRUE,"moderate","Private room",2010,981,196,1,13,"12/13/2017",0.46,3,1,0
"unconfirmed","Manhattan","Washington Heights",40.84543,-73.9401,"United States","US",FALSE,"flexible","Entire home/apt",2019,610,122,1,1,"2/19/2017",0.03,5,1,0
"verified","Brooklyn","Bushwick",40.69149,-73.91291,"United States","US",TRUE,"strict","Entire home/apt",2004,724,145,4,21,"9/20/2018",0.75,3,2,189
"verified","Queens","Fresh Meadows",40.74637,-73.7842,"United States","US",FALSE,"strict","Private room",2009,730,146,1,50,"7/7/2019",3.51,1,3,67
"unconfirmed","Manhattan","Chinatown",40.71573,-73.99176,"United States","US",FALSE,"moderate","Private room",2022,603,121,20,31,"9/23/2018",1.09,2,5,218
"verified","Brooklyn","Bushwick",40.68185,-73.90455,"United States","US",FALSE,"strict","Private room",2020,130,26,7,0,NA,NA,3,1,0
"unconfirmed","Brooklyn","Bushwick",40.69423,-73.91993,"United States","US",TRUE,"flexible","Private room",2014,1073,215,2,3,"7/30/2017",0.12,4,1,0
"unconfirmed","Manhattan","Lower East Side",40.72045,-73.99004,"United States","US",FALSE,"strict","Private room",2020,505,101,2,20,"6/23/2019",0.77,2,3,0
"verified","Manhattan","East Village",40.72334,-73.9839,"United States","US",TRUE,"strict","Entire home/apt",2015,266,53,2,29,"5/27/2019",1.53,1,1,15
"verified","Manhattan","West Village",40.73532,-74.0031,"United States","US",TRUE,"moderate","Entire home/apt",2019,1185,237,3,1,"2/20/2017",0.03,3,1,0
"unconfirmed","Brooklyn","Carroll Gardens",40.68148,-73.99315,"United States","US",TRUE,"strict","Private room",2022,519,104,3,72,"6/30/2019",2.56,1,1,67
"verified","Manhattan","Hell's Kitchen",40.76553,-73.98879,"United States","US",TRUE,"flexible","Private room",2008,1072,214,2,16,"7/1/2019",0.63,1,1,24
"verified","Brooklyn","Bushwick",40.69796,-73.92409,"United States","US",TRUE,"strict","Private room",2022,1090,218,2,88,"6/12/2019",3.02,1,3,84
"unconfirmed","Queens","Astoria",40.77355,-73.92552,"United States","US",TRUE,"moderate","Entire home/apt",2007,937,187,7,4,"5/29/2019",0.17,1,1,0
"verified","Brooklyn","Bedford-Stuyvesant",40.68412,-73.92734,"United States","US",FALSE,"strict","Private room",2008,777,155,2,61,"6/23/2019",2.4,4,3,110
"unconfirmed","Brooklyn","Williamsburg",40.71262,-73.96251,"United States","US",TRUE,"moderate","Entire home/apt",2021,1096,219,2,38,"6/16/2019",1.32,5,1,94
"unconfirmed","Brooklyn","Gowanus",40.67706,-73.98406,"United States","US",FALSE,"strict","Entire home/apt",2017,372,74,1,106,"6/29/2019",3.78,4,2,341
"verified","Manhattan","Chelsea",40.73899,-73.99912,"United States","US",FALSE,"moderate","Entire home/apt",2007,422,84,3,15,"2/17/2019",0.65,5,1,42
"verified","Manhattan","NoHo",40.72723,-73.99186,"United States","US",TRUE,"strict","Entire home/apt",2013,796,159,30,5,"5/31/2019",0.19,5,1,34
"verified","Queens","Ridgewood",40.69645,-73.90223,"United States","US",TRUE,"strict","Entire home/apt",2016,221,44,2,1,"7/14/2017",0.04,5,1,0
"unconfirmed","Brooklyn","Brooklyn Heights",40.69819,-73.99324,"United States","US",TRUE,"flexible","Entire home/apt",2018,245,49,2,13,"12/30/2017",0.45,1,1,0
"unconfirmed","Manhattan","Gramercy",40.73556,-73.98913,"United States","US",TRUE,"flexible","Entire home/apt",2019,411,82,2,15,"5/12/2019",0.57,2,1,33
"unconfirmed","Queens","East Elmhurst",40.76367,-73.87088,"United States","US",FALSE,"moderate","Private room",2005,595,119,1,417,"7/7/2019",14.36,3,5,338
"unconfirmed","Manhattan","Chelsea",40.73977,-73.99938,"United States","US",TRUE,"moderate","Entire home/apt",2009,73,15,12,5,"6/6/2019",0.5,4,1,32
"verified","Queens","Long Island City",40.75455,-73.92006,"United States","US",TRUE,"flexible","Private room",2016,616,123,30,18,"7/1/2019",0.62,3,1,92
"unconfirmed","Queens","Astoria",40.76043,-73.91465,"United States","US",FALSE,"strict","Private room",2010,1075,215,2,18,"4/28/2019",0.62,5,1,364
"verified","Brooklyn","Sunset Park",40.63992,-74.0076,"United States","US",TRUE,"flexible","Private room",2004,528,106,1,31,"3/10/2019",1.08,1,5,1
"verified","Manhattan","Upper West Side",40.78141,-73.97681,"United States","US",TRUE,"strict","Entire home/apt",2005,1086,217,4,22,"3/22/2019",0.75,2,1,0
"verified","Brooklyn","Sunset Park",40.63929,-74.00669,"United States","US",TRUE,"strict","Private room",2004,584,117,1,27,"4/1/2019",1.64,2,5,168
"verified","Queens","Rego Park",40.73048,-73.85331,"United States","US",TRUE,"flexible","Private room",2012,483,97,1,34,"7/6/2019",1.17,2,1,347
"unconfirmed","Manhattan","Gramercy",40.7363,-73.98969,"United States","US",FALSE,"strict","Entire home/apt",2012,273,55,3,0,NA,NA,5,1,93
"unconfirmed","Brooklyn","Williamsburg",40.71162,-73.95631,"United States","US",TRUE,"strict","Private room",2017,128,26,3,12,"5/14/2019",0.58,1,2,289
"unconfirmed","Queens","Ditmars Steinway",40.772,-73.91848,"United States","US",TRUE,"moderate","Entire home/apt",2003,986,197,4,3,"10/14/2018",0.1,2,1,0
"verified","Manhattan","Upper East Side",40.77747,-73.95193,"United States","US",FALSE,"flexible","Entire home/apt",2010,724,145,31,4,"1/3/2019",0.21,5,33,299
"unconfirmed","Manhattan","Upper East Side",40.77878,-73.9501,"United States","US",TRUE,"flexible","Entire home/apt",2020,396,79,31,10,"5/31/2019",0.55,2,33,331
"verified","Manhattan","Upper East Side",40.77823,-73.95127,"United States","US",FALSE,"flexible","Entire home/apt",2012,672,134,31,9,"2/19/2019",0.39,3,33,333
"verified","Manhattan","Chelsea",40.74281,-73.99969,"United States","US",TRUE,"strict","Entire home/apt",2008,864,173,4,5,"6/21/2018",0.23,4,1,8
"unconfirmed","Brooklyn","Williamsburg",40.70721,-73.95341,"United States","US",TRUE,"flexible","Entire home/apt",2021,535,107,2,17,"7/9/2018",0.59,4,1,3
"unconfirmed","Manhattan","East Village",40.72598,-73.98856,"United States","US",FALSE,"flexible","Private room",2007,909,182,1,25,"5/26/2019",0.88,4,2,329
"verified","Brooklyn","Gowanus",40.6707,-73.99118,"United States","US",TRUE,"moderate","Shared room",2014,1177,235,1,9,"5/8/2017",0.31,2,1,0
"verified","Manhattan","East Village",40.72759,-73.98619,"United States","US",TRUE,"flexible","Entire home/apt",2008,995,199,1,31,"6/30/2019",1.14,5,1,1
"verified","Brooklyn","Crown Heights",40.67203,-73.922,"United States","US",FALSE,"moderate","Private room",2010,150,30,2,18,"6/4/2018",0.63,4,5,0
"verified","Brooklyn","Williamsburg",40.70585,-73.9531,"United States","US",FALSE,"moderate","Private room",2015,522,104,30,4,"3/24/2019",0.17,3,3,294
"verified","Bronx","Concourse",40.83243,-73.92035,"United States","US",FALSE,"moderate","Private room",2018,876,175,1,11,"2/20/2019",0.42,5,3,239
"verified","Brooklyn","Bedford-Stuyvesant",40.69,-73.93783,"United States","US",TRUE,"moderate","Entire home/apt",2019,404,81,4,77,"6/16/2019",2.66,1,2,100
"unconfirmed","Queens","Astoria",40.7578,-73.92368,"United States","US",TRUE,"flexible","Private room",2013,1177,235,2,1,"2/20/2017",0.03,3,1,0
"verified","Manhattan","East Village",40.72412,-73.97815,"United States","US",FALSE,"moderate","Private room",2005,1027,205,2,29,"4/22/2018",1.01,1,3,0
